PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
655047,96742,Alex,Yee,GBR,56,00:20:37,00:00:50,00:51:57,00:00:22,00:29:47,1,01:43:33,Elite Men
655047,104034,Hayden,Wilde,NZL,21,00:21:13,00:00:50,00:51:20,00:00:27,00:29:49,2,01:43:39,Elite Men
655047,63162,Léo,Bergere,FRA,27,00:20:37,00:00:51,00:51:55,00:00:25,00:29:55,3,01:43:43,Elite Men
655047,30249,Pierre,Le Corre,FRA,29,00:20:20,00:00:51,00:52:14,00:00:25,00:30:01,4,01:43:51,Elite Men
655047,86042,Vasco,Vilaca,POR,48,00:21:03,00:00:52,00:51:30,00:00:27,00:30:04,5,01:43:56,Elite Men
655047,98121,Ricardo,Batista,POR,47,00:21:10,00:00:46,00:51:29,00:00:27,00:30:06,6,01:43:58,Elite Men
655047,80795,Matthew,Hauser,AUS,45,00:20:14,00:00:49,00:52:26,00:00:24,00:30:24,7,01:44:17,Elite Men
655047,74419,Alberto,Gonzalez Garcia,ESP,15,00:20:23,00:00:46,00:52:15,00:00:22,00:30:36,8,01:44:22,Elite Men
655047,49411,Tyler,Mislawchuk,CAN,49,00:20:49,00:00:51,00:51:45,00:00:25,00:30:35,9,01:44:25,Elite Men
655047,105480,Miguel,Hidalgo,BRA,25,00:20:57,00:00:53,00:51:36,00:00:25,00:30:36,10,01:44:27,Elite Men
655047,94446,Csongor,Lehmann,HUN,53,00:21:19,00:00:48,00:51:16,00:00:21,00:30:43,11,01:44:27,Elite Men
655047,41322,Kristian,Blummenfelt,NOR,43,00:21:00,00:00:53,00:51:29,00:00:26,00:30:39,12,01:44:27,Elite Men
655047,79706,Charles,Paquet,CAN,50,00:21:16,00:00:53,00:51:16,00:00:26,00:30:46,13,01:44:37,Elite Men
655047,71738,Gianluca,Pozzatti,ITA,3,00:20:31,00:00:51,00:52:01,00:00:27,00:30:51,14,01:44:41,Elite Men
655047,39264,Kenji,Nener,JPN,18,00:20:36,00:00:50,00:51:58,00:00:25,00:31:13,15,01:45:02,Elite Men
655047,50700,Bence,Bicsák,HUN,52,00:20:55,00:00:54,00:51:35,00:00:29,00:31:21,16,01:45:14,Elite Men
655047,96040,Vetle Bergsvik,Thorn,NOR,44,00:20:30,00:00:50,00:52:02,00:00:25,00:31:34,17,01:45:21,Elite Men
655047,106885,Tim,Hellwig,GER,36,00:20:34,00:00:47,00:52:03,00:00:26,00:31:39,18,01:45:29,Elite Men
655047,103632,Dylan,McCullough,NZL,20,00:20:36,00:00:51,00:51:58,00:00:26,00:31:44,19,01:45:35,Elite Men
655047,30433,Henri,Schoeman,RSA,33,00:20:11,00:00:51,00:52:24,00:00:25,00:32:02,20,01:45:53,Elite Men
655047,70410,Lasse,Lührs,GER,37,00:21:00,00:00:52,00:51:34,00:00:27,00:32:03,21,01:45:56,Elite Men
655047,40311,Marten,Van Riel,BEL,12,00:20:34,00:00:56,00:51:53,00:00:26,00:32:22,22,01:46:11,Elite Men
655047,21622,Alois,Knabl,AUT,42,00:20:33,00:00:54,00:51:57,00:00:26,00:32:33,23,01:46:23,Elite Men
655047,67535,Jonas,Schomburg,GER,38,00:20:32,00:00:51,00:52:00,00:00:22,00:32:41,24,01:46:26,Elite Men
655047,103943,Jamie,Riddle,RSA,32,00:20:29,00:00:55,00:52:02,00:00:33,00:33:16,25,01:47:15,Elite Men
655047,135049,Mitch,Kolkman,NED,6,00:20:39,00:00:46,00:51:58,00:00:27,00:33:31,26,01:47:21,Elite Men
655047,49390,Dorian,Coninx,FRA,28,00:20:18,00:00:50,00:52:17,00:00:23,00:33:49,27,01:47:37,Elite Men
655047,56027,Diego,Moya,CHI,34,00:21:05,00:00:51,00:51:31,00:00:26,00:33:54,28,01:47:47,Elite Men
655047,76425,Seth,Rider,USA,31,00:20:30,00:00:53,00:52:00,00:00:27,00:34:03,29,01:47:53,Elite Men
655047,107730,Alessio,Crociani,ITA,2,00:20:10,00:00:49,00:52:32,00:00:24,00:34:24,30,01:48:19,Elite Men
655047,123392,Morgan,Pearson,USA,30,00:21:30,00:00:47,00:54:35,00:00:30,00:31:04,31,01:48:26,Elite Men
655047,63428,Antonio,Serrat Seoane,ESP,17,00:22:03,00:00:52,00:53:57,00:00:24,00:31:26,32,01:48:42,Elite Men
655047,94563,Tjebbe,Kaindl,AUT,41,00:21:21,00:00:47,00:51:18,00:00:27,00:35:08,33,01:49:01,Elite Men
655047,29226,Matthew,Wright,BAR,4,00:22:13,00:00:49,00:53:50,00:00:24,00:32:02,34,01:49:18,Elite Men
655047,58566,Emil,Holm,DEN,40,00:22:26,00:00:49,00:53:37,00:00:25,00:32:04,35,01:49:21,Elite Men
655047,63429,Roberto,Sanchez Mantecon,ESP,16,00:23:02,00:00:51,00:54:28,00:00:23,00:30:45,36,01:49:29,Elite Men
655047,41870,Shachar,Sagiv,ISR,5,00:21:31,00:00:48,00:54:33,00:00:27,00:32:13,37,01:49:32,Elite Men
655047,7167,Gaspar,Riveros,CHI,35,00:22:14,00:00:50,00:53:47,00:00:28,00:32:29,38,01:49:48,Elite Men
655047,7503,Crisanto,Grajales Valencia,MEX,8,00:21:24,00:00:53,00:54:34,00:00:26,00:32:45,39,01:50:02,Elite Men
655047,70032,Max,Studer,SUI,23,00:22:24,00:00:52,00:53:36,00:00:24,00:32:51,40,01:50:07,Elite Men
655047,63982,Makoto,Odakura,JPN,19,00:21:36,00:00:52,00:54:24,00:00:28,00:32:55,41,01:50:15,Elite Men
655047,39974,Jelle,Geens,BEL,11,00:23:13,00:00:53,00:54:16,00:00:26,00:31:47,42,01:50:35,Elite Men
655047,11162,Rostislav,Pevtsov,AZE,1,00:21:33,00:00:49,00:56:01,00:00:31,00:31:42,43,01:50:36,Elite Men
655047,16392,Richard,Murray,NED,7,00:22:43,00:00:50,00:54:48,00:00:23,00:32:11,44,01:50:55,Elite Men
655047,69143,Manoel,Messias,BRA,26,00:23:08,00:00:53,00:54:21,00:00:31,00:32:07,45,01:51:00,Elite Men
655047,55495,Luke,Willian,AUS,46,00:22:09,00:00:54,00:53:40,00:00:25,00:34:05,46,01:51:13,Elite Men
655047,103530,Aram Michell,Peñaflor Moysen,MEX,9,00:23:07,00:00:49,00:54:27,00:00:27,00:32:56,47,01:51:46,Elite Men
655047,79730,Tyler,Smith,BER,14,00:21:39,00:00:55,00:54:16,00:00:27,00:34:42,48,01:51:59,Elite Men
655047,56550,Adrien,Briffod,SUI,22,00:21:30,00:00:51,00:54:30,00:00:24,00:35:06,49,01:52:21,Elite Men
655047,23656,Felix,Duchampt,ROU,54,00:23:05,00:00:50,00:56:35,00:00:30,00:35:00,50,01:56:00,Elite Men
655047,109797,Jason Tai Long,Ng,HKG,39,00:24:06,00:00:51,00:00:00,00:00:00,00:00:00,DNF,DNF,Elite Men
655047,88205,Samuel,Dickinson,GBR,55,00:20:52,00:00:47,00:51:43,00:00:22,00:00:00,DNF,DNF,Elite Men
655047,84714,Jean Gael Laurent,L`entete,MRI,10,00:25:10,00:00:53,00:00:00,00:00:00,00:00:00,LAP,LAP,Elite Men
655047,155563,Jawad,Abdelmoula,MAR,24,00:22:29,00:00:52,00:00:00,00:00:00,00:00:00,LAP,LAP,Elite Men
655047,163812,Eloi,Adjavon,TOG,51,00:25:43,00:00:51,00:00:00,00:00:00,00:00:00,LAP,LAP,Elite Men
655048,63163,Cassandre,Beaugrand,FRA,33,00:22:32,00:00:53,00:58:20,00:00:28,00:32:42,1,01:54:55,Elite Women
655048,84816,Julie,Derron,SUI,7,00:22:51,00:00:54,00:57:58,00:00:27,00:32:51,2,01:55:01,Elite Women
655048,117212,Beth,Potter,GBR,25,00:22:25,00:00:54,00:58:26,00:00:26,00:32:59,3,01:55:10,Elite Women
655048,125375,Emma,Lombardi,FRA,34,00:22:36,00:00:56,00:58:12,00:00:27,00:33:05,4,01:55:16,Elite Women
655048,7776,Flora,Duffy,BER,44,00:22:05,00:00:56,00:58:44,00:00:28,00:33:59,5,01:56:12,Elite Women
655048,49545,Georgia,Taylor-Brown,GBR,26,00:22:41,00:00:53,00:58:12,00:00:29,00:34:20,6,01:56:35,Elite Women
655048,55701,Maya,Kingma,NED,49,00:22:20,00:00:59,00:58:25,00:00:27,00:34:42,7,01:56:53,Elite Women
655048,70413,Laura,Lindemann,GER,37,00:22:48,00:00:53,00:59:07,00:00:31,00:33:42,8,01:57:01,Elite Women
655048,79065,Lisa,Tertsch,GER,38,00:22:45,00:00:50,00:59:12,00:00:29,00:33:47,9,01:57:03,Elite Women
655048,81334,Taylor,Spivey,USA,11,00:22:43,00:00:57,00:58:04,00:00:30,00:34:57,10,01:57:11,Elite Women
655048,112738,Maria,Tomé,POR,41,00:24:17,00:00:56,00:57:34,00:00:31,00:33:55,11,01:57:13,Elite Women
655048,79066,Nina,Eim,GER,36,00:23:38,00:00:53,00:58:16,00:00:29,00:33:57,12,01:57:13,Elite Women
655048,106358,Roksana,Slupek,POL,28,00:23:33,00:00:57,00:58:18,00:00:29,00:33:59,13,01:57:16,Elite Women
655048,22170,Rachel,Klamer,NED,50,00:23:30,00:01:00,00:58:15,00:00:29,00:34:25,14,01:57:39,Elite Women
655048,86051,Kate,Waugh,GBR,27,00:24:17,00:00:51,00:57:39,00:00:28,00:34:33,15,01:57:48,Elite Women
655048,39683,Alice,Betto,ITA,54,00:23:41,00:00:56,00:58:11,00:00:28,00:34:40,16,01:57:56,Elite Women
655048,31827,Anna,Godoy Contreras,ESP,43,00:23:33,00:00:57,00:58:17,00:00:29,00:34:57,17,01:58:13,Elite Women
655048,80813,Rosa Maria,Tapia Vidal,MEX,17,00:24:12,00:00:53,00:57:44,00:00:27,00:35:13,18,01:58:29,Elite Women
655048,80643,Taylor,Knibb,USA,10,00:24:08,00:00:56,00:57:45,00:00:31,00:35:17,19,01:58:37,Elite Women
655048,125061,Djenyfer,Arnold,BRA,23,00:24:03,00:00:56,00:57:49,00:00:26,00:35:31,20,01:58:45,Elite Women
655048,123455,Sophie,Linn,AUS,14,00:23:56,00:00:54,00:57:59,00:00:28,00:35:35,21,01:58:52,Elite Women
655048,106581,Bianca,Seregni,ITA,55,00:22:14,00:00:59,00:59:37,00:00:31,00:35:50,22,01:59:11,Elite Women
655048,135877,Tilda,Månsson,SWE,47,00:24:03,00:00:59,00:57:48,00:00:33,00:35:59,23,01:59:22,Elite Women
655048,113106,Jolien,Vermeylen,BEL,6,00:22:42,00:00:54,00:59:16,00:00:29,00:36:23,24,01:59:44,Elite Women
655048,81882,Vittoria,Lopes,BRA,24,00:22:18,00:00:57,00:59:42,00:00:32,00:36:41,25,02:00:10,Elite Women
655048,16368,Zsanett,Kuttor-Bragmayer,HUN,48,00:22:34,00:00:56,00:58:15,00:00:27,00:38:12,26,02:00:24,Elite Women
655048,41158,Leonie,Periault,FRA,35,00:24:06,00:00:57,01:00:35,00:00:31,00:34:31,27,02:00:40,Elite Women
655048,131701,Xinyu,Lin,CHN,46,00:23:38,00:00:55,00:58:18,00:00:32,00:37:27,28,02:00:50,Elite Women
655048,26478,Petra,Kurikova,CZE,19,00:24:02,00:00:57,01:00:40,00:00:30,00:34:53,29,02:01:02,Elite Women
655048,73426,Lizeth,Rueda Santos,MEX,16,00:23:55,00:00:55,00:57:58,00:00:38,00:37:52,30,02:01:18,Elite Women
655048,64750,Nicole,Van Der Kaay,NZL,53,00:24:13,00:00:57,01:00:29,00:00:30,00:35:24,31,02:01:33,Elite Women
655048,41079,Julia,Hauser,AUT,2,00:24:41,00:00:57,01:00:39,00:00:32,00:34:55,32,02:01:44,Elite Women
655048,30383,Miriam,Casillas García,ESP,42,00:26:03,00:00:58,00:59:14,00:00:27,00:35:04,33,02:01:46,Elite Women
655048,7525,Elizabeth,Bravo,ECU,1,00:24:06,00:00:57,01:00:38,00:00:30,00:35:38,34,02:01:49,Elite Women
655048,69055,Emy,Legault,CAN,21,00:24:04,00:00:56,01:00:40,00:00:32,00:35:42,35,02:01:54,Elite Women
655048,82017,Alberte,Kjær Pedersen,DEN,51,00:24:40,00:00:55,01:00:41,00:00:27,00:35:19,36,02:02:02,Elite Women
655048,83323,Maria Carolina,Velasquez Soto,COL,4,00:24:38,00:00:56,01:00:41,00:00:32,00:35:26,37,02:02:13,Elite Women
655048,72769,Claire,Michel,BEL,5,00:26:05,00:00:56,00:59:16,00:00:28,00:35:37,38,02:02:22,Elite Women
655048,58449,Verena,Steinhauser,ITA,56,00:24:51,00:00:56,01:00:28,00:00:29,00:35:51,39,02:02:35,Elite Women
655048,17285,Yuko,Takahashi,JPN,39,00:24:11,00:00:54,01:00:35,00:00:29,00:36:33,40,02:02:42,Elite Women
655048,80082,Erica,Hawley,BER,45,00:24:05,00:00:58,01:00:37,00:00:31,00:36:44,41,02:02:55,Elite Women
655048,45907,Natalie,Van Coevorden,AUS,15,00:24:18,00:00:56,01:00:26,00:00:29,00:36:52,42,02:03:01,Elite Women
655048,115148,Cathia,Schär,SUI,8,00:26:14,00:00:59,00:59:02,00:00:28,00:36:45,43,02:03:28,Elite Women
655048,92305,Ainsley,Thorpe,NZL,52,00:23:59,00:00:55,01:01:22,00:00:27,00:37:05,44,02:03:48,Elite Women
655048,47942,Melanie,Santos,POR,40,00:24:20,00:00:57,01:01:00,00:00:28,00:37:03,45,02:03:48,Elite Women
655048,7803,Vicky,Van Der Merwe,RSA,29,00:26:09,00:00:57,01:02:07,00:00:30,00:35:33,46,02:05:16,Elite Women
655048,21487,Romina,Biagioli,ARG,18,00:24:09,00:00:56,01:01:12,00:00:33,00:38:46,47,02:05:36,Elite Women
655048,94515,Solveig,Løvseth,NOR,30,00:28:00,00:00:58,01:00:14,00:00:33,00:36:04,48,02:05:49,Elite Women
655048,89532,Kirsten,Kasper,USA,9,00:22:39,00:00:53,01:05:47,00:00:31,00:36:48,49,02:06:38,Elite Women
655048,11879,Lisa,Perterer,AUT,3,00:27:52,00:01:03,01:00:16,00:00:35,00:37:41,50,02:07:27,Elite Women
655048,107593,Edda,Hannesdottir,ISL,22,00:24:49,00:00:59,01:03:25,00:00:38,00:40:55,51,02:10:46,Elite Women
655048,165494,Manami,Iijima,GUM,12,00:26:38,00:01:02,00:00:00,00:00:00,00:00:00,DNF,DNF,Elite Women
655048,56557,Jeanne,Lehair,LUX,20,00:23:36,00:00:54,00:00:00,00:00:00,00:00:00,DNF,DNF,Elite Women
655048,47631,Lotte,Miller,NOR,31,00:24:40,00:01:00,00:00:00,00:00:00,00:00:00,DNF,DNF,Elite Women
655048,115050,Ekaterina,Shabalina,KAZ,32,00:28:06,00:00:56,00:00:00,00:00:00,00:00:00,DNF,DNF,Elite Women
